ID,FROM_ID,To_ID,DURATION_H,DIST_KM,Municipalicty
2,Helsingborg,2854,0.513733333,41.71038,Ã–rkelljunga
2,Helsingborg,2895,0.573063889,47.40182,Ã–rkelljunga
2,Helsingborg,3052,0.582483333,48.62261,Ã–rkelljunga
2,Helsingborg,3117,0.660138889,50.40414,Ã–rkelljunga
2,Helsingborg,3238,0.530686111,43.24616,Ã–rkelljunga
2,Helsingborg,3282,0.478522222,40.54055,Ã–rkelljunga
2,Helsingborg,3319,0.526522222,42.46806,Ã–rkelljunga
2,Helsingborg,3410,0.703538889,64.73589,Ã–rkelljunga
2,Helsingborg,3581,0.796438889,59.79811,Ã–rkelljunga
2,Helsingborg,3692,0.579961111,44.35486,Ã–rkelljunga
2,Helsingborg,3796,0.749447222,58.37947,Ã–rkelljunga
2,Helsingborg,3844,0.487908333,37.68658,Ã–rkelljunga
2,Helsingborg,3895,0.925311111,64.62353,Ã–rkelljunga
2,Helsingborg,4069,0.684961111,47.1399,Ã–rkelljunga
2,Helsingborg,4100,0.7693,67.91234,Ã–rkelljunga
2,Helsingborg,4101,0.510944444,41.20187,Ã–rkelljunga
2,Helsingborg,4147,0.606072222,50.41943,Ã–rkelljunga
2,Helsingborg,4182,0.548475,43.95403,Ã–rkelljunga
2,Helsingborg,4187,0.651991667,53.23455,Ã–rkelljunga
2,Helsingborg,4214,0.694905556,52.19855,Ã–rkelljunga
2,Helsingborg,4256,0.599466667,48.46013,Ã–rkelljunga
2,Helsingborg,4257,0.621033333,46.3287,Ã–rkelljunga
2,Helsingborg,4514,0.654608333,51.15554,Ã–rkelljunga
2,Helsingborg,4683,0.743452778,66.24563,Ã–rkelljunga
2,Helsingborg,4822,0.603969444,49.34779,Ã–rkelljunga
2,Helsingborg,4843,0.652922222,53.63693,Ã–rkelljunga
2,Helsingborg,4860,0.736158333,59.80494,Ã–rkelljunga
2,Helsingborg,4886,0.732416667,57.05387,Ã–rkelljunga
2,Helsingborg,4922,0.738366667,56.10446,Ã–rkelljunga
2,Helsingborg,4947,0.654330556,50.48096,Ã–rkelljunga
2,Helsingborg,5013,0.6368,45.10383,Ã–rkelljunga
2,Helsingborg,5057,0.583572222,45.65536,Ã–rkelljunga
2,Helsingborg,5159,0.575102778,43.92546,Ã–rkelljunga
2,Helsingborg,5268,0.735852778,65.54179,Ã–rkelljunga
2,Helsingborg,5388,0.683113889,54.40392,Ã–rkelljunga
2,Helsingborg,5460,0.898119444,64.67818,Ã–rkelljunga
2,Helsingborg,5544,0.586052778,51.4361,Ã–rkelljunga
2,Helsingborg,5628,0.739033333,58.81321,Ã–rkelljunga
2,Helsingborg,5679,0.809330556,69.12823,Ã–rkelljunga
2,Helsingborg,5846,0.654688889,50.30869,Ã–rkelljunga
2,Helsingborg,5929,0.842822222,70.92509,Ã–rkelljunga
2,Helsingborg,5953,0.647472222,61.95492,Ã–rkelljunga
2,Helsingborg,6049,0.696680556,49.07986,Ã–rkelljunga
2,Helsingborg,6071,0.796580556,69.16187,Ã–rkelljunga
2,Helsingborg,6086,0.671255556,63.29471,Ã–rkelljunga
2,Helsingborg,6090,0.615483333,45.83926,Ã–rkelljunga
2,Helsingborg,6481,0.686369444,57.73593,Ã–rkelljunga
2,Helsingborg,6502,0.732675,56.16672,Ã–rkelljunga
2,Helsingborg,6509,0.514191667,42.42143,Ã–rkelljunga
2,Helsingborg,6590,0.696719444,56.48751,Ã–rkelljunga
2,Helsingborg,6627,0.729680556,66.06609,Ã–rkelljunga
